Hour,GreenPower,TraditionalPower,HighTask,MediumTask,LowTask,DelayMedium,DelayLow
0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1,0.0,1500.0,0.0,30.0,0.0,0.0,1.0
2,0.0,1000.0,0.0,20.0,0.0,0.0,1.0
3,0.0,1400.0,0.0,10.0,30.0,0.0,0.0
4,500.0,1700.0,20.0,0.0,20.0,1.0,0.0
5,1400.0,1300.0,30.0,0.0,10.0,1.0,0.0
6,1800.0,1550.0,40.0,0.0,5.0,1.0,0.0
7,2100.0,1900.0,50.0,0.0,0.0,1.0,0.0
8,2400.0,2400.0,60.0,0.0,0.0,1.0,0.0
9,2400.0,2400.0,60.0,0.0,0.0,1.0,0.0
10,2800.0,2800.0,70.0,0.0,0.0,1.0,0.0
11,3200.0,3200.0,80.0,0.0,0.0,1.0,0.0
12,3400.0,3800.0,90.0,0.0,0.0,1.0,0.0
13,3300.0,3100.0,80.0,0.0,0.0,1.0,0.0
14,3100.0,2500.0,70.0,0.0,0.0,1.0,0.0
15,2900.0,1900.0,60.0,0.0,0.0,1.0,0.0
16,2600.0,1400.0,50.0,0.0,0.0,1.0,0.0
17,2500.0,700.0,40.0,0.0,0.0,1.0,0.0
18,2300.0,600.0,30.0,10.0,0.0,0.0,0.0
19,1500.0,350.0,20.0,5.0,0.0,0.0,0.0
20,800.0,0.0,10.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
